what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1773622482504
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1773622482504
java.specification.name,sysinfo,,,"Java Platform API Specification",1773622482504
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1773622482504
java.specification.version,sysinfo,,,"1.6",1773622482504
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1773622482504
java.version,sysinfo,,,"1.6.0_23",1773622482504
java.vm.info,sysinfo,,,"mixed mode",1773622482504
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1773622482504
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1773622482504
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1773622482504
java.vm.specification.version,sysinfo,,,"1.0",1773622482504
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1773622482504
java.vm.version,sysinfo,,,"19.0-b09",1773622482504
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1773622482533
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1773622484178
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1773622484670
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1773622491043
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1773622899088
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1773622900906
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1773622904288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1773622963156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1773622963774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1773622980558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1773622981534
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1773623207576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1773623213654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1773623213920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1773623567162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1773623567646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1773623568387
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1773623568626
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1773623568721
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1773623568961
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1773623569741
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.cPerspective",1773635262968
started,bundle,org.eclipse.osgi,3.7.2.v20120110-1415,"org.eclipse.osgi",1773635262970
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110815-1438,"org.eclipse.equinox.simpleconfigurator",1773635262971
started,bundle,com.ibm.icu,4.4.2.v20110823,"com.ibm.icu",1773635262972
started,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1773635262974
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1773635262975
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1773635262976
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1773635262977
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1773635262978
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1773635262978
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1773635262979
started,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1773635262980
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1773635262980
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1773635262981
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1773635262982
started,bundle,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui",1773635262982
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1773635262982
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1773635262983
