what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1774843152438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843152791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843156972
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1774843157901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843159111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843161714
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843161900
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843208637
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1774843209860
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1774843219347
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1774843221519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843228123
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1774843230593
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843231227
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1774843231715
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1774843233830
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1774843234120
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1774843236322
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1774843239036
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1774843259806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1774843262810
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1774843265117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843268977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843271940
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1774843272394
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1774843274528
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1774843274830
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1774843277076
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1774843279834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843284572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843295305
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843299835
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843303279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843303452
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843315440
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1774843315998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1774843318657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843318997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843363927
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843364570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843374956
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1774843376347
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843379099
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843380715
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1774843381174
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1774843383262
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1774843383545
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=Not Found] return code: 8",1774843385801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843387123
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1774843388551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843459083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843460389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843462091
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1774843462225
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843462326
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1774843462627
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1774843462628
stopped,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1774843462629
stopped,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1774843463628
stopped,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1774843463629
stopped,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1774843463629
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1774843463629
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1774843463629
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1774843463629
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1774843463630
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1774843463630
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1774843463630
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201202111925,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1774843463631
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.1.201202111925,"org.eclipse.cdt.debug.ui.memory.search",1774843463633
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1774843463633
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1774843463635
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1774843463636
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1774843463636
