what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1774843573127
processors,sysinfo,,,"20",1774843573127
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1774843573127
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1774843573127
java.specification.name,sysinfo,,,"Java Platform API Specification",1774843573127
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1774843573127
java.specification.version,sysinfo,,,"1.6",1774843573127
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1774843573127
java.version,sysinfo,,,"1.6.0_23",1774843573127
java.vm.info,sysinfo,,,"mixed mode",1774843573127
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1774843573127
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1774843573127
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1774843573127
java.vm.specification.version,sysinfo,,,"1.0",1774843573127
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1774843573127
java.vm.version,sysinfo,,,"19.0-b09",1774843573127
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843576742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843611506
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1774843612966
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1774843613244
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1774843613269
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1774843616900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843616929
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1774843617004
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1774843617008
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1774843617009
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1774843617010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843618822
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1774843625774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843626272
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843633676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843634152
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843666135
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1774843668333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843673425
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843678284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843678643
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1774843678767
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1774843678832
